date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Aug%202018%2017:03:29%20GMT	https://malind1.jimdo.com/	D:/malind/site%20copy/malind-home/malind1.jimdo.com/index.html	(from )
01:03:27	122/122	U--MCZ	200	updated ('OK')	text/plain	date:Wed,%2008%20Aug%202018%2017:03:29%20GMT	https://malind1.jimdo.com/robots.txt		(from )
01:03:28	122/122	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20Aug%202018%2017:03:30%20GMT	https://www.malind.co/robots.txt		(from https://malind1.jimdo.com/)
01:03:28	39099/39099	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2017:03:31%20GMT	https://www.malind.co/	D:/malind/site%20copy/malind-home/www.malind.co/index.html	(from https://malind1.jimdo.com/)
01:03:29	88056/88056	---M--	200	added ('OK')	image/jpeg	etag:%22dc10696c02f37c30acb47d7ca8899540%22	https://image.jimcdn.com/app/cms/image/transf/none/path/sa199affb87f300fc/backgroundarea/i3a0c2df1c5e3cb61/version/1488248928/image.jpg	D:/malind/site%20copy/malind-home/image.jimcdn.com/app/cms/image/transf/none/path/sa199affb87f300fc/backgroundarea/i3a0c2df1c5e3cb61/version/1488248928/image.jpg	(from https://www.malind.co/)
01:03:29	2128/2128	---M-Z	200	added ('OK')	application/javascript	etag:%228e42e5e69bbb5ba27542d259545605f7%22	https://assets.jimstatic.com/ckies.js.e606f09425b513091092.js	D:/malind/site%20copy/malind-home/assets.jimstatic.com/ckies.js.e606f09425b513091092.js	(from https://www.malind.co/)
01:03:29	38228/38228	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Aug%202018%2017:03:31%20GMT	https://u.jimcdn.com/cms/o/sa199affb87f300fc/layout/dm_bde78093a5d571d1b686f5d19c82e240/css/layout.css?t=1526979537	D:/malind/site%20copy/malind-home/u.jimcdn.com/cms/o/sa199affb87f300fc/layout/dm_bde78093a5d571d1b686f5d19c82e240/css/layout4942.css	(from https://www.malind.co/)
01:03:29	226337/226337	---M-Z	200	added ('OK')	text/css	etag:%2202c3109b5691ba25fefd2ab663ff8b6e%22	https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css	D:/malind/site%20copy/malind-home/assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css	(from https://www.malind.co/)
01:03:30	574502/574502	---M-Z	200	added ('OK')	application/javascript	etag:%22c79c704403484800541e4079af09d01d%22	https://assets.jimstatic.com/web.js.2b25a6727553f5f71ba2.js	D:/malind/site%20copy/malind-home/assets.jimstatic.com/web.js.2b25a6727553f5f71ba2.js	(from https://www.malind.co/)
01:03:30	1101/1101	---M-Z	200	added ('OK')	text/javascript	etag:W/%22fdd72c0a97672e72646c410f25eb8e2b%22	https://api.dmp.jimdo-server.com/designs/376/versions/1.0/assets/js/stickyNav.js	D:/malind/site%20copy/malind-home/api.dmp.jimdo-server.com/designs/376/versions/1.0/assets/js/stickyNav.js	(from https://www.malind.co/)
01:03:30	21832/21832	---M--	200	added ('OK')	image/png	etag:%224ac753bf24847036aede498b8e90a0e13fa005bd%22	https://image.jimcdn.com/app/cms/image/transf/dimension=426x10000:format=png/path/sa199affb87f300fc/image/i6ac5229faf3efde9/version/1493878761/image.png	D:/malind/site%20copy/malind-home/image.jimcdn.com/app/cms/image/transf/dimension=426x10000_format=png/path/sa199affb87f300fc/image/i6ac5229faf3efde9/version/1493878761/image.png	(from https://www.malind.co/)
01:03:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Aug%202018%2017:03:33%20GMT	http://www.malind.co/j/privacy	D:/malind/site%20copy/malind-home/www.malind.co/j/privacy.7.delayed	(from https://www.malind.co/)
01:03:32	45543/45543	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2017:03:33%20GMT	https://www.malind.co/who-we-are/	D:/malind/site%20copy/malind-home/www.malind.co/who-we-are/index.html	(from https://www.malind.co/)
01:03:32	49176/49176	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2017:03:34%20GMT	https://www.malind.co/our-businesses/	D:/malind/site%20copy/malind-home/www.malind.co/our-businesses/index.html	(from https://www.malind.co/)
01:03:32	42950/42950	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2017:03:34%20GMT	https://www.malind.co/contact-us/	D:/malind/site%20copy/malind-home/www.malind.co/contact-us/index.html	(from https://www.malind.co/)
01:03:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Aug%202018%2017:03:35%20GMT	http://www.malind.co/j/cookies/policy	D:/malind/site%20copy/malind-home/www.malind.co/j/cookies/policy.9.delayed	(from https://www.malind.co/)
01:03:33	39876/39876	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2017:03:34%20GMT	https://www.malind.co/j/privacy	D:/malind/site%20copy/malind-home/www.malind.co/j/privacy.html	(from https://www.malind.co/)
01:03:33	35423/35423	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2017:03:35%20GMT	https://www.malind.co/about/	D:/malind/site%20copy/malind-home/www.malind.co/about/index.html	(from https://www.malind.co/)
01:03:33	44361/44361	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Aug%202018%2017:03:36%20GMT	https://www.malind.co/j/cookies/policy	D:/malind/site%20copy/malind-home/www.malind.co/j/cookies/policy.html	(from https://www.malind.co/)
